Feature,DLL_Segmental,DLL_Combined
Dim_0,-1.3322676295501878e-15,-2.4526172265559865e-05
Dim_1,-1.3322676295501878e-15,-2.4526172265559865e-05
Dim_2,-1.3322676295501878e-15,-2.4526172265559865e-05
Dim_3,-1.3322676295501878e-15,-2.4526172265559865e-05
Dim_4,-1.3322676295501878e-15,-2.4526172265559865e-05
Dim_5,-1.3322676295501878e-15,-2.4526172265559865e-05
Dim_6,-1.3322676295501878e-15,-2.4526172265559865e-05
Dim_7,-1.3322676295501878e-15,-2.4526172265559865e-05
Dim_8,-1.3322676295501878e-15,-2.4526172265559865e-05
Dim_9,-1.3322676295501878e-15,-2.4526172265559865e-05
Dim_10,-1.3322676295501878e-15,-2.4526172265559865e-05
Dim_11,-1.3322676295501878e-15,-2.4526172265559865e-05
Dim_12,-1.3322676295501878e-15,-2.4526172265559865e-05
Dim_13,-1.3322676295501878e-15,-2.4526172265559865e-05
Dim_14,-1.3322676295501878e-15,-2.4526172265559865e-05
Dim_15,1.3534894806044306e-05,-3.093722442248925e-05
Dim_16,-7.194702839496969e-06,-2.9303518204515377e-05
Dim_17,1.0136457967435675e-05,7.158778202565053e-06
Dim_18,-2.3483805650537093e-05,-2.7197392890587757e-05
Dim_19,1.0136457967879764e-05,-3.595036431836007e-05
Dim_20,-1.0783823763738098e-05,2.009917388634541e-06
Dim_21,0.0006416333347538661,0.0006348719497448752
Dim_22,-1.021405182655144e-14,-1.1254009712136082e-05
Dim_23,-1.021405182655144e-14,-1.1254009712136082e-05
