file,begin,end,speaker,overall_log_likelihood,speech_log_likelihood,phone_duration_deviation,snr
BAC009S0915W0192,0.0,8.485,S0915,-41.25711314782097,-44.25581209283126,52.06290501283739,9.875686006892657
BAC009S0105W0482,0.0,7.472875,S0105,-42.69123107011379,-46.078572336832686,33.99841112002545,8.143974905968623
BAC009S0718W0470,0.0,9.1809375,S0718,-47.03346269063181,-49.392890068792525,33.55989109804938,3.7281252057418826
BAC009S0013W0422,0.0,4.624,S0013,-44.37513105384199,-48.46806627161362,32.16135421375768,10.67927336943395
BAC009S0209W0426,0.0,6.067125,S0209,-44.96982470140033,-46.97871624339711,31.855169546228087,7.504301368242842
BAC009S0903W0416,0.0,6.035875,S0903,-44.996963602028146,-44.783319820057265,31.855169546228087,8.512672610466975
BAC009S0741W0294,0.0,5.677,S0741,-49.70839637433979,-48.75890117221408,29.895123584695046,11.454049602287277
BAC009S0343W0245,0.0,6.973875,S0343,-48.98434137374462,-49.35580749511719,28.540953293547982,4.600627205430598
BAC009S0082W0410,0.0,7.567125,S0082,-43.29362925198151,-43.51916285923549,27.8748637663187,6.782267679479052
BAC009S0732W0230,0.0,6.167,S0732,-46.78754938209076,-47.1944948832194,27.68399892575028,10.395949117628163
BAC009S0703W0418,0.0,4.3679375,S0703,-41.90877520737986,-44.94841432571411,27.262509030948024,8.046626723983586
BAC009S0731W0413,0.0,6.52,S0731,-46.146388516104295,-47.605654283003375,26.956331663262688,3.873779462025901
BAC009S0046W0174,0.0,4.906,S0046,-46.82900808299389,-47.952386354145254,26.616125187351088,8.89115303518875
BAC009S0070W0452,0.0,6.812,S0070,-47.97626709342878,-52.21217331519494,26.141481063714423,7.209118213041954
BAC009S0908W0395,0.0,8.764875,S0908,-45.719998573059364,-47.253416748046874,25.637243736252227,6.314044146781612
BAC009S0337W0365,0.0,8.0188125,S0337,-45.263306577306736,-47.95245066556063,25.517945163637236,10.30224830703007
BAC009S0173W0442,0.0,6.354,S0173,-46.329770546259844,-49.38677506219773,24.20072805425039,11.424636091903494
BAC009S0174W0359,0.0,7.6850625,S0174,-48.49026231306892,-53.12029897249662,23.39921891420028,7.457820235751516
BAC009S0002W0430,0.0,6.879875,S0002,-46.09156976744186,-45.32596910916842,22.976018583509042,4.537223168294734
BAC009S0134W0139,0.0,5.353,S0134,-50.14890478971962,-51.49525451660156,22.88505446608316,5.167000822829705
BAC009S0354W0487,0.0,7.27,S0354,-47.335308846286104,-48.414207165057846,22.106762006792785,9.580153085691737
BAC009S0903W0361,0.0,5.099875,S0903,-46.0123659620098,-47.198081970214844,21.6374068183154,12.341681814152299
BAC009S0063W0232,0.0,6.719,S0063,-46.510172526041664,-50.137577056884766,21.04810622848745,3.5228509365774023
BAC009S0716W0483,0.0,6.121125,S0716,-49.6765216503268,-50.884552637736,21.022530488648044,8.2498290288864
BAC009S0007W0128,0.0,8.728,S0007,-46.07292561569301,-47.99295924260066,20.828355810807178,5.672935098028699
BAC009S0162W0463,0.0,8.8720625,S0162,-49.56693471674183,-48.72727802821568,20.784363187133685,5.162622006707025
BAC009S0212W0462,0.0,7.9709375,S0212,-46.75134292659975,-47.353778492320664,20.673431057761853,5.729454986543768
BAC009S0012W0219,0.0,5.249,S0012,-47.42013764880952,-48.7680549621582,20.661597751394446,12.264078738109617
BAC009S0346W0222,0.0,3.2979375,S0346,-50.61543560606061,-52.74119450495793,20.412950460091402,8.475100558555148
BAC009S0766W0229,0.0,4.4810625,S0766,-45.161812918526785,-48.44980639503116,20.130861514897045,7.119826334642099
BAC009S0019W0126,0.0,8.2750625,S0019,-46.015247584541065,-46.492965303618334,19.914244906655668,8.908707351728282
BAC009S0061W0434,0.0,7.2150625,S0061,-48.7099203601108,-52.92804772513254,19.865236936644294,4.07894441267247
BAC009S0907W0137,0.0,5.347,S0907,-47.52341559579439,-48.00125383075915,19.628698476880583,12.570777633685902
BAC009S0770W0251,0.0,8.5610625,S0770,-47.115416910046726,-49.53074734027569,19.00918259440253,6.839868780587068
BAC009S0142W0432,0.0,5.792,S0142,-49.028082496761655,-48.17496035175939,18.995712803599655,6.712433230343558
BAC009S0662W0448,0.0,6.7990625,S0662,-46.9604061351103,-48.839692664868906,18.952107237361385,10.58142113817743
BAC009S0038W0274,0.0,6.112875,S0038,-41.92114617430442,-45.80607986450195,18.921499628255845,11.223734538548806
BAC009S0159W0128,0.0,5.2229375,S0159,-49.64731501436781,-49.9397183122306,18.707943384640544,11.399452505633544
BAC009S0725W0165,0.0,5.23,S0725,-47.04212476099426,-49.32152626731179,18.699424653163508,10.830911504712407
BAC009S0027W0219,0.0,8.995125,S0027,-45.78129340277778,-48.97370032377021,18.61324210491273,12.329316734190275
BAC009S0349W0198,0.0,3.8929375,S0349,-50.57937017994858,-51.3356429013339,18.140907486869743,3.445198791752066
BAC009S0148W0460,0.0,7.3400625,S0148,-49.14846410933242,-56.71077929045025,18.024893614909928,6.318273953683388
